system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.3918,0.284455,-0.015964,0.075299,0.009035,0.193166,0.006956,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.38646,0.300061,-0.016815,0.079371,0.009714,0.203648,0.007329,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.38113,0.316013,-0.017682,0.083521,0.010438,0.214346,0.007708,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.37579,0.33228,-0.018562,0.087739,0.011211,0.225237,0.008094,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.37046,0.348827,-0.019453,0.092015,0.012034,0.236295,0.008484,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.36512,0.365619,-0.020352,0.096337,0.012911,0.247493,0.008878,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.35979,0.382616,-0.021256,0.100692,0.013847,0.258804,0.009274,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.35445,0.399779,-0.022164,0.105068,0.014843,0.270196,0.009671,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.34912,0.417065,-0.023071,0.109451,0.015906,0.28164,0.010069,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.34378,0.434431,-0.023975,0.113827,0.017038,0.293102,0.010464,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.33845,0.451832,-0.024873,0.118181,0.018244,0.304549,0.010857,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.33311,0.469222,-0.025762,0.122498,0.01953,0.315949,0.011245,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.32778,0.486555,-0.026638,0.126763,0.020899,0.327265,0.011627,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.32244,0.503785,-0.027498,0.130961,0.022356,0.338465,0.012002,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.31711,0.520867,-0.028338,0.135076,0.023908,0.349514,0.012368,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.31177,0.537755,-0.029157,0.139093,0.02556,0.360378,0.012724,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.30644,0.554404,-0.02995,0.142996,0.027317,0.371023,0.013068,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.3011,0.570772,-0.030714,0.146771,0.029185,0.381417,0.013398,0.0,0.0,0.0,0.0,0.0,0.0
