        96

Path index:         1
 -0.277783289362E+01 -0.460539985412E+01 -0.414896895987E-01
 -0.278964101410E+01 -0.458306822640E+01 -0.414110155413E-01

Path index:         5
        68
 -0.924621802844E-02 -0.593418526286E+01 -0.559301358208E-01
 -0.392459051947E-01 -0.593416330550E+01 -0.557949034160E-01
 -0.692455854152E-01 -0.593419479272E+01 -0.556600137515E-01
 -0.992452103131E-01 -0.593426075201E+01 -0.555252719382E-01
 -0.129244735178E+00 -0.593436263305E+01 -0.553906312778E-01
 -0.159244109664E+00 -0.593450197952E+01 -0.552560465902E-01
 -0.189243275998E+00 -0.593468061316E+01 -0.551214758246E-01
 -0.219242167109E+00 -0.593490064989E+01 -0.549868804198E-01
 -0.249240704788E+00 -0.593516447776E+01 -0.548522253801E-01
 -0.279238797936E+00 -0.593547472118E+01 -0.547174792443E-01
 -0.309236340959E+00 -0.593583419850E+01 -0.545826139972E-01
 -0.339233212362E+00 -0.593624587628E+01 -0.544476049438E-01
 -0.369229273587E+00 -0.593671282257E+01 -0.543124305570E-01
 -0.399224368151E+00 -0.593723816082E+01 -0.541770723056E-01
 -0.429218321088E+00 -0.593782502648E+01 -0.540415144690E-01
 -0.459210938715E+00 -0.593847652797E+01 -0.539057439418E-01
 -0.489202008673E+00 -0.593919571396E+01 -0.537697500349E-01
 -0.519191300152E+00 -0.593998554882E+01 -0.536335242749E-01
 -0.549178564195E+00 -0.594084889855E+01 -0.534970602067E-01
 -0.579163533856E+00 -0.594178852914E+01 -0.533603532042E-01
 -0.609145923966E+00 -0.594280711992E+01 -0.532234002906E-01
 -0.639125430177E+00 -0.594390729419E+01 -0.530861999751E-01
 -0.669101726852E+00 -0.594509166988E+01 -0.529487521097E-01
 -0.699074463309E+00 -0.594636293284E+01 -0.528110577710E-01
 -0.729043257832E+00 -0.594772393533E+01 -0.526731191727E-01
 -0.759007688737E+00 -0.594917782217E+01 -0.525349396160E-01
 -0.788967281718E+00 -0.595072818645E+01 -0.523965234831E-01
 -0.818921492544E+00 -0.595237925602E+01 -0.522578762822E-01
 -0.848869684081E+00 -0.595413611071E+01 -0.521190047501E-01
 -0.878811096450E+00 -0.595600492850E+01 -0.519799170219E-01
 -0.908744809027E+00 -0.595799325657E+01 -0.518406228722E-01
 -0.938669692809E+00 -0.596011030013E+01 -0.517011340363E-01
 -0.968584351602E+00 -0.596236721878E+01 -0.515614646152E-01
 -0.998487050415E+00 -0.596477741596E+01 -0.514216315675E-01
 -0.102837562960E+01 -0.596735680368E+01 -0.512816552860E-01
 -0.105824740356E+01 -0.597012402133E+01 -0.511415602564E-01
 -0.108809904367E+01 -0.597310058497E+01 -0.510013757826E-01
 -0.111792644600E+01 -0.597631094374E+01 -0.508611367636E-01
 -0.114772458644E+01 -0.597978242117E+01 -0.507208844890E-01
 -0.117748736778E+01 -0.598354502483E+01 -0.505806674177E-01
 -0.120720746596E+01 -0.598763111453E+01 -0.504405418880E-01
 -0.123687618536E+01 -0.599207493018E+01 -0.503005727027E-01
 -0.126648333495E+01 -0.599691199188E+01 -0.501608335273E-01
 -0.129601713805E+01 -0.600217839813E+01 -0.500214070414E-01
 -0.132546418738E+01 -0.600791006096E+01 -0.498823847992E-01
 -0.135480945304E+01 -0.601414193034E+01 -0.497438667814E-01
 -0.138403634267E+01 -0.602090727619E+01 -0.496059606747E-01
 -0.141312679760E+01 -0.602823712023E+01 -0.494687810064E-01
 -0.144206138141E+01 -0.603615995266E+01 -0.493324484228E-01
 -0.147081926795E+01 -0.604470194537E+01 -0.491970896941E-01
 -0.149937795067E+01 -0.605388800099E+01 -0.490628395266E-01
 -0.152771235397E+01 -0.606374416165E+01 -0.489298460867E-01
 -0.155579281798E+01 -0.607430210803E+01 -0.487982833283E-01
 -0.158358116317E+01 -0.608560657597E+01 -0.486683746472E-01
 -0.161102380821E+01 -0.609772618257E+01 -0.485404334328E-01
 -0.163804096495E+01 -0.611076679182E+01 -0.484149251552E-01
 -0.166451181411E+01 -0.612488341921E+01 -0.482925494773E-01
 -0.169025823998E+01 -0.614028171709E+01 -0.481743245453E-01
 -0.171503514171E+01 -0.615719598444E+01 -0.480616256132E-01
 -0.173854205903E+01 -0.617583502148E+01 -0.479560982496E-01
 -0.176046984156E+01 -0.619630849211E+01 -0.478593829306E-01
 -0.178057378347E+01 -0.621857559809E+01 -0.477727165225E-01
 -0.179873104223E+01 -0.624245672385E+01 -0.476966458250E-01
 -0.181494064408E+01 -0.626770042616E+01 -0.476310604356E-01
 -0.182926809534E+01 -0.629405798778E+01 -0.475755097549E-01
 -0.184176061538E+01 -0.632133315671E+01 -0.475296547405E-01
 -0.185229777615E+01 -0.634942171264E+01 -0.474940345615E-01
 -0.185900744956E+01 -0.637334511441E+01 -0.474749666345E-01

Path index:         6
        68
 -0.924621802844E-02 -0.593418526286E+01 -0.559301358208E-01
  0.207534691378E-01 -0.593420722022E+01 -0.560653682257E-01
  0.507530674299E-01 -0.593428262118E+01 -0.562010774871E-01
  0.807525575561E-01 -0.593439249252E+01 -0.563371673918E-01
  0.110751892584E+00 -0.593453828303E+01 -0.564737068236E-01
  0.140751019800E+00 -0.593472153553E+01 -0.566107645484E-01
  0.170749878638E+00 -0.593494407091E+01 -0.567484104390E-01
  0.200748398785E+00 -0.593520800416E+01 -0.568867153670E-01
  0.230746498368E+00 -0.593551572245E+01 -0.570257507912E-01
  0.260744082265E+00 -0.593586984927E+01 -0.571655882431E-01
  0.290741040563E+00 -0.593627320203E+01 -0.573062987669E-01
  0.320737247216E+00 -0.593672874639E+01 -0.574479523476E-01
  0.350732558966E+00 -0.593723954940E+01 -0.575906173476E-01
  0.380726814540E+00 -0.593780873359E+01 -0.577343599764E-01
  0.410719834168E+00 -0.593843943343E+01 -0.578792438118E-01
  0.440711419404E+00 -0.593913475640E+01 -0.580253293990E-01
  0.470701353216E+00 -0.593989775018E+01 -0.581726739496E-01
  0.500689400257E+00 -0.594073137822E+01 -0.583213311681E-01
  0.530675307179E+00 -0.594163850557E+01 -0.584713512327E-01
  0.560658802801E+00 -0.594262189731E+01 -0.586227809614E-01
  0.590639597855E+00 -0.594368423184E+01 -0.587756641940E-01
  0.620617383977E+00 -0.594482813158E+01 -0.589300424245E-01
  0.650591831522E+00 -0.594605621357E+01 -0.590859557176E-01
  0.680562585700E+00 -0.594737116280E+01 -0.592434439469E-01
